device_id,discarded_fix_ts,rank_in_burst,reason
LA1,2008-11-17 21:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 21:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 21:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 22:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 22:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 22:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 05:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 05:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 06:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 06:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 06:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 07:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 07:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 07:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 08:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 08:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 08:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 09:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 09:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 09:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 10:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 10:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 10:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 11:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 11:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 14:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 14:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 15:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 15:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 16:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 16:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 16:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 17:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 18:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 18:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 19:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 19:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 19:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 20:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 20:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 20:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 21:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 21:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 21:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 22:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 22:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 23:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 23:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-18 23:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 01:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 02:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 02:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 02:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 03:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 03:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 03:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 04:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 04:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-19 04:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
